Total Visits,Population,MedianIncome,MedianAge,Family,Nonfamily,Householdsize0,Householdsize2,Pop Age 15+: Married,Pop Age 15+: Nevermarried,Pop Age 15+: Divorced,Pop Age 25+: Bachelor's Degree,Pop Age 25 Grad Professional,Adult,Blackpop,Whitepop,Hispanicpop,Mobility,PopulationGrowthRate,Personal Crime Index (AGS),Motor Vehicle Theft Aggregate (AGS),AREA,POP_C,Population_Density,Female_density,GDP,Is_Florida,Is_Tennessee,Is_Alabama,TJ.Maxx,Marshalls,HomeGoods,Total_competing_store_count_3m,Total_competing_store_visits_3m,Lowe's_3m,The Home Depot_3m,Walmart_3m,Burlington_3m,Kohl's_3m,Ross Dress for Less_3m,Lowe's_visits_3m,The Home Depot_visits_3m,Walmart_visits_3m,Burlington_visits_3m,Kohl's_visits_3m,Ross Dress for Less_visits_3m,Total_competing_store_count1,Total_competing_store_visits1,Lowe's_1m,The Home Depot_1m,Burlington_1m,Kohl's_1m,Ross Dress for Less_1m,Lowe's_visits_1m,The Home Depot_visits_1m,Burlington_visits_1m,Kohl's_visits_1m,Ross Dress for Less_visits_1m,Total_grocery_store_count,Total_grocery_store_visits,Aldi's_3m,Publix_3m,The Fresh Market_3m,Whole Foods Market_3m,Winn-Dixie_3m,Aldi's_visits_3m,Publix_visits_3m,The Fresh Market_visits_3m,Whole Foods Market_visits_3m,Winn-Dixie_visits_3m,num_star,tjmaxx_3m,Marshalls_3m,Homegoods_3m,tjmaxx_visits_3m,Marshalls_visits_3m,Homegoods_visits_3m
339550,3550,69118,42.6,696,900,611,419,1128,923,680,741,449,2845,1132,2196,395,3480,0.92,205,996256,1.9897961,5097,1784.102401,0.515774648,75792930,1,0,0,0,0,1,7,5747125,1,1,1,2,0,2,483580,792691,371276,3453924,0,645654,2,1095045,0,1,0,0,1,0,792691,0,0,302354,6,4335625,1,4,0,1,0,300961,3147841,0,886823,0,2,1,0,0,471527,0,0
338604,4766,134934,46.4,1221,1219,584,654,2108,1084,600,1430,782,3881,44,4568,107,4766,0.4,91,502000,1.62662671,4983,2929.990004,0.516575745,60529067,1,0,0,0,0,1,2,874667,0,1,0,0,0,1,0,740655,0,0,0,134012,2,874667,0,1,0,0,1,0,740655,0,0,134012,6,3578930,0,3,0,1,1,0,2323519,0,417351,310552,1,0,1,0,0,541376,0
335144,2690,141591,53.2,852,264,392,294,1485,434,231,740,600,2079,63,2405,96,2623,0.21,29,144624,7.08781524,2978,379.5245656,0.520074349,13327769,1,0,0,0,0,1,3,3826767,1,1,0,1,0,0,951087,1012713,0,1862967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3545686,0,2,1,0,0,0,2393824,391313,0,0,1,1,0,0,629904,0,0
329864,2152,86458,49.9,601,240,360,201,1074,522,153,381,62,1840,256,1634,610,2152,1.91,109,28413,4.71467326,2487,456.4473255,0.573420074,25297584,1,0,0,0,0,1,2,850518,0,0,1,0,0,1,0,0,379602,0,0,470916,2,850518,0,0,0,0,1,0,0,0,0,470916,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,356560,0
324403,3927,109375,26.6,706,225,278,282,1533,1427,178,459,205,2200,217,3161,632,3927,3.09,148,1211652,84.18339192,5485,46.64815601,0.522026993,29010141,1,0,0,0,0,1,3,2358150,0,0,1,1,0,1,0,0,195488,1932920,0,229742,2,425230,0,0,0,0,1,0,0,0,0,229742,1,213742,1,0,0,0,0,213742,0,0,0,0,2,0,1,0,0,423864,0
318395,6906,56250,38.7,1879,613,650,730,3232,1339,639,1565,330,5152,889,4823,2276,6896,0.47,118,558144,1.96159221,7198,3520.609414,0.541268462,20452076,1,0,0,0,0,1,6,4007716,1,1,0,1,1,2,492496,901420,0,1333333,538299,742168,4,3265548,1,1,1,1,0,492496,901420,1333333,538299,0,9,6970175,1,5,0,1,1,369987,4579908,0,646675,486547,1,1,2,0,264589,645939,0
315668,2842,70000,69.5,574,1108,1163,192,1069,405,430,409,239,2333,30,2705,139,2839,-0.25,35,95280,0.51458884,3092,5522.855878,0.568613652,45673601,1,0,0,0,0,1,4,3963628,0,1,1,1,0,1,0,787471,309970,2645330,0,220857,2,1097441,0,1,0,0,0,0,787471,0,0,0,11,5457251,1,5,0,0,4,253964,3684800,0,0,1293355,1,1,0,0,447977,0,0
315346,5995,79107,52.4,1471,889,619,580,2378,1190,898,1312,466,4841,55,5543,791,5919,0.31,47,271968,1.98676051,5775,3017.474914,0.562468724,19267728,1,0,0,0,0,1,4,3464235,0,1,1,1,0,1,0,1123804,292260,1810852,0,237319,0,0,0,0,0,0,0,0,0,0,0,0,11,7586476,1,6,0,0,1,195747,5122347,0,0,239675,1,1,1,0,407702,350911,0
312041,3966,51764,63.6,1051,977,1200,203,2008,521,405,227,121,3449,148,3668,223,3749,0.07,47,30952,4.98014118,3873,796.3629658,0.475542108,3928981,1,0,0,0,0,1,2,2881062,0,0,0,1,0,1,0,0,0,2387031,0,494031,2,2881062,0,0,1,0,1,0,0,2387031,0,494031,1,242779,1,0,0,0,0,242779,0,0,0,0,1,0,1,0,0,502202,0
308755,4284,116033,38.6,1075,958,313,604,1991,1255,391,1094,577,3705,247,3672,333,4261,2.05,185,281385,2.86754047,3959,1493.963222,0.490196078,11158763,1,0,0,0,0,1,4,4745635,1,1,0,1,0,1,544598,530858,0,3275683,0,394496,3,4201037,0,1,1,0,1,0,530858,3275683,0,394496,3,2272346,0,1,1,1,0,0,1531016,194367,546963,0,1,0,1,0,0,406771,0
